date,Q1,Q2,Q3,Q4,Q5
196802,-6.81,-6.08,-4.36,-4.42,-2.54
196803,-1.17,-1.2,0.04,0.06,0.94
196804,17.14,14.83,12.79,10.57,8.1
196805,12,8.31,5.89,4.32,1.29
196806,0.66,0.39,0.87,1.98,1.1
196807,-2.96,-3.67,-3.86,-3.65,-1.73
196808,4.52,3.2,3.32,2.06,1.36
196809,7.05,7.02,6.02,6.87,3.47
196810,0.13,0.66,1.36,0.81,0.89
196811,7.17,8.42,8.12,7.43,5.15
196812,2.52,-1.34,-1.99,-3.3,-4.26
196901,-0.7,-0.48,-1.61,-0.51,-0.77
196902,-10.23,-8.41,-7.76,-7.35,-3.95
196903,3.16,2.19,2.13,2.08,3.51
196904,0.62,1.3,1.08,1.3,2.43
196905,1.03,-0.59,0.41,0.02,0.39
196906,-13.53,-11.37,-10.76,-8.11,-4.98
196907,-11.43,-9.31,-8.44,-6.98,-5.81
196908,4.74,5.47,7.19,5.94,4.84
196909,-3.34,-0.46,-1.07,-1.81,-2.66
196910,10.27,9.05,7.47,7.42,4.65
196911,-6.97,-4.18,-4.79,-3.75,-2.87
196912,-7.7,-5.87,-3.54,-2.01,-1.24
197001,-3.64,-5.12,-6.85,-7.65,-7.71
197002,3.21,3.63,4.51,5.84,6.01
197003,-3.94,-2.7,-1.21,-0.46,-0.04
197004,-18.11,-17.11,-14.56,-12.23,-8.92
197005,-9.55,-10.58,-9.93,-8.86,-5.23
197006,-8.62,-7.96,-5.96,-4.28,-4.95
197007,4.87,7.3,7.42,8.7,7.31
197008,6.2,7.43,6.62,5.84,4.64
197009,15.48,13.32,9.64,6.86,3.1
197010,-7.97,-5.17,-4.76,-3.73,-0.8
197011,-1.81,2.37,3.71,5.12,5.61
197012,9.24,8.64,8.24,8.36,5.41
197101,15.16,11.19,8.82,7.38,3.78
197102,5.98,2.97,2.45,2.5,1.26
197103,5.88,5.66,6.47,5.02,3.94
197104,2.09,3.3,4.8,3.98,3.46
197105,-5.96,-4.58,-3.78,-3.43,-3.61
197106,-2.2,-0.17,-1.09,0.5,0.53
197107,-6.65,-5.47,-4.91,-4.35,-3.85
197108,4.13,5.14,5.33,5.3,3.95
197109,-0.18,-0.84,-0.27,-0.48,-0.49
197110,-6.57,-4.81,-6.09,-4.1,-3.69
197111,-4.78,-2.31,-1.91,-1.38,0.64
197112,12.66,12.7,11.07,10.39,8.39
197201,13.25,7.62,5.32,3.12,1.78
197202,4.18,3.81,3.59,2.44,3.06
197203,-0.67,0.38,1,1.2,0.87
197204,0.21,0.96,0.32,-0.04,0.69
197205,-2.41,-1.53,-0.47,0.67,2.27
197206,-3.79,-2.16,-2.81,-3.45,-1.73
197207,-4.27,-3.89,-2.32,-2.62,0.36
197208,-0.22,0.98,2.62,3.34,3.93
197209,-4.25,-3.16,-2.2,-2.17,-0.19
197210,-2.72,-0.63,-0.38,0.01,1.36
197211,4.53,6.06,5.44,7.43,4.46
197212,-2.28,-1.8,-0.31,-1.02,1.68
197301,-3.9,-6.27,-6.09,-5.57,-1.63
