date,Q1,Q2,Q3,Q4,Q5
197108,5.52,4.72,-0.2,2.79,10.73
197109,0.53,-0.93,-1.1,-1.23,-2.9
197110,-3.68,-5.13,-3.32,-3.41,-5.2
197111,0.85,-0.23,-0.57,-0.84,-2.41
197112,9.05,9.94,9,7.78,11.02
197201,3.06,1.82,0.42,2.13,8.48
197202,4.75,2.63,1.24,0.82,1.15
197203,2.43,0.62,-1.93,-1.07,1
197204,0.75,0.78,-0.11,0.49,0.63
197205,3.21,-0.92,1.75,0.33,-1.86
197206,-1,-2.76,-2.79,-2.82,-5.85
197207,0.84,-1.99,-0.91,-1.15,-2.06
197208,0.59,5.14,5.95,7.74,5.54
197209,-0.12,-2.14,-1.57,0.87,-3.71
197210,0.58,0.53,1.73,2.1,-0.04
197211,2.08,6.44,6.76,7.68,11
197212,3.28,-0.5,-0.78,-0.43,-2.89
197301,-2.28,-4.84,-2.67,-0.34,-4.16
